barcode	ips_ctla4_neg_pd1_neg	ips_ctla4_neg_pd1_pos	ips_ctla4_pos_pd1_neg	ips_ctla4_pos_pd1_pos
TCGA-AA-3531	10	9	10	8
TCGA-AA-3530	10	8	9	8
TCGA-AA-3527	10	10	10	9
TCGA-AA-3525	10	9	10	8
TCGA-AA-3522	10	8	9	8
TCGA-AA-3519	10	8	9	8
TCGA-AA-3518	10	9	9	8
TCGA-AA-3516	10	10	10	10
TCGA-AA-3502	10	8	9	7
TCGA-A6-6653	10	9	10	8
TCGA-A6-5661	10	8	9	8
TCGA-A6-5656	10	8	9	7
TCGA-A6-4107	10	8	9	7
TCGA-A6-3807	10	9	9	8
TCGA-A6-2683	10	8	9	8
TCGA-A6-2680	10	8	9	8
TCGA-A6-2679	10	10	10	10
TCGA-4N-A93T	10	8	9	7
